ngram,count,avg_sentiment
wonderful night,10,0.9997646987438202
great staff,16,0.9997225068509579
excellent food,12,0.999716098109881
absolutely amazing,11,0.9997041117061268
fantastic food,12,0.9996887892484665
amazing cruise,12,0.9996747672557831
wonderful experience,22,0.9996742037209597
highly recommended,38,0.9996592637739683
really enjoyed,10,0.9996586382389069
fantastic cruise,17,0.9996037518276888
course meal,12,0.9996033906936646
great commentary,10,0.9995738923549652
fantastic experience,13,0.999570791537945
highly recommend,205,0.9995617064034067
definitely recommend,14,0.9995496528489249
amazing experience,24,0.9994834636648496
visiting darwin,22,0.9994378794323314
great way,15,0.9994069337844849
great crew,11,0.9990100481293418
sea darwin,14,0.9985921170030322
friendly staff,37,0.9970401042216533
great value,23,0.9968357189841892
delicious food,17,0.994073468096116
great night,23,0.9925306905870852
beautiful sunset,26,0.9755411514869103
great food,45,0.9580695933765835
good food,17,0.9569433910005233
great experience,33,0.9492545669729059
great service,26,0.9277224334386679
thoroughly enjoyed,14,0.9242519118956157
cape adieu,77,0.9236539664206567
great time,22,0.8982161039655859
amazing sunset,17,0.881253579083611
wonderful evening,16,0.8749728202819824
darwin harbour,48,0.8728229800860087
great cruise,29,0.8590541358651786
absolutely fantastic,13,0.8567501581632174
darwin sunset,27,0.8513961478515908
sunset cruise,106,0.8499474564813218
sunset dinner cruise,27,0.848993369826564
buffet dinner,13,0.8111017942428589
sail darwin,12,0.8100243707497915
sunset dinner,31,0.8018645721097146
harbour cruise,29,0.7921660521934772
dinner cruise,65,0.7827522268662086
charles darwin,17,0.761484889423146
harbour cruises,13,0.5388069932277386
